timestamp,src_node,dst_node,src_name,dst_name,travel_time_s,length_m,traffic_delay_s,departure_time,arrival_time
2026-05-07 21:18:50,v01,v02,Ngã tư Bến Thành,Ngã tư Điện Biên Phủ-Hai BT,542,2676,0,2026-05-07T21:21:30+07:00,2026-05-07T21:30:32+07:00
2026-05-07 21:18:50,v02,v03,Ngã tư Điện Biên Phủ-Hai BT,Vòng xoay Dân Chủ,335,1414,0,2026-05-07T21:21:31+07:00,2026-05-07T21:27:06+07:00
2026-05-07 21:18:50,v03,v04,Vòng xoay Dân Chủ,Ngã tư Lê Văn Sỹ-Nguyễn Đình Chiểu,234,1074,0,2026-05-07T21:21:31+07:00,2026-05-07T21:25:25+07:00
2026-05-07 21:18:50,v04,v05,Ngã tư Lê Văn Sỹ-Nguyễn Đình Chiểu,Ngã tư CMT8-Điện Biên Phủ,151,917,0,2026-05-07T21:21:32+07:00,2026-05-07T21:24:03+07:00
2026-05-07 21:18:50,v05,v06,Ngã tư CMT8-Điện Biên Phủ,Cầu Sài Gòn (đầu Q1),807,5699,0,2026-05-07T21:21:32+07:00,2026-05-07T21:34:59+07:00
2026-05-07 21:18:50,v06,v07,Cầu Sài Gòn (đầu Q1),Ngã tư Nguyễn Huệ-Lê Lợi,876,5140,0,2026-05-07T21:21:33+07:00,2026-05-07T21:36:09+07:00
2026-05-07 21:18:50,v07,v08,Ngã tư Nguyễn Huệ-Lê Lợi,Ngã tư Hàm Nghi-Tôn Đức Thắng,74,231,0,2026-05-07T21:21:33+07:00,2026-05-07T21:22:47+07:00
2026-05-07 21:18:50,v08,v09,Ngã tư Hàm Nghi-Tôn Đức Thắng,Ngã tư Võ Văn Tần-Nam Kỳ KN,508,2100,0,2026-05-07T21:21:34+07:00,2026-05-07T21:30:02+07:00
2026-05-07 21:18:50,v09,v10,Ngã tư Võ Văn Tần-Nam Kỳ KN,Ngã tư Pasteur-Lê Duẩn,353,1488,0,2026-05-07T21:21:35+07:00,2026-05-07T21:27:28+07:00
